epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,8083.12,1.52054,0.71551,0.84688,0.93802,0.88889,0.951,0.62856,1.50927,0.87045,1.08999,0.000459924,0.000459924,0.000459924
139,8140.63,1.60945,0.70049,0.81743,0.93076,0.88889,0.9675,0.63502,1.56636,0.87116,1.06458,0.00045285,0.00045285,0.00045285
140,8197.7,1.40875,0.67606,0.87836,0.93076,0.88889,0.9675,0.63502,1.56636,0.87116,1.06458,0.000445777,0.000445777,0.000445777
141,8255.34,1.53913,0.70744,0.8845,0.93076,0.88889,0.9675,0.63502,1.56636,0.87116,1.06458,0.000438703,0.000438703,0.000438703
142,8314.81,1.55645,0.69099,0.83727,0.89832,0.88889,0.9675,0.58895,1.52564,0.85483,1.02323,0.000431629,0.000431629,0.000431629
143,8372.09,1.54802,0.69916,0.81295,0.89832,0.88889,0.9675,0.58895,1.52564,0.85483,1.02323,0.000424556,0.000424556,0.000424556
144,8430.54,1.65283,0.72359,0.78756,0.89832,0.88889,0.9675,0.58895,1.52564,0.85483,1.02323,0.000417482,0.000417482,0.000417482
145,8487.39,1.36981,0.65827,0.81203,0.89832,0.88889,0.9675,0.58895,1.52564,0.85483,1.02323,0.000410409,0.000410409,0.000410409
146,8544.66,1.68932,0.69546,0.72472,0.93302,0.87077,0.9675,0.64043,1.47187,0.85821,1.01138,0.000403335,0.000403335,0.000403335
147,8602.47,1.43022,0.70388,0.83098,0.93302,0.87077,0.9675,0.64043,1.47187,0.85821,1.01138,0.000396262,0.000396262,0.000396262
148,8659.93,1.57342,0.71507,0.77701,0.93302,0.87077,0.9675,0.64043,1.47187,0.85821,1.01138,0.000389188,0.000389188,0.000389188
149,8717.31,1.66635,0.69839,0.81055,0.93488,0.91801,0.995,0.62588,1.47946,0.84288,1.02897,0.000382115,0.000382115,0.000382115
150,8775.17,1.4517,0.72403,0.84409,0.93488,0.91801,0.995,0.62588,1.47946,0.84288,1.02897,0.000375041,0.000375041,0.000375041
151,8832.21,1.57633,0.69087,0.78479,0.93488,0.91801,0.995,0.62588,1.47946,0.84288,1.02897,0.000367967,0.000367967,0.000367967
152,8889.62,1.47144,0.65657,0.82129,0.87343,0.97259,0.995,0.62114,1.49573,0.79425,1.08781,0.000360894,0.000360894,0.000360894
153,8947.03,1.50464,0.70085,0.80132,0.87343,0.97259,0.995,0.62114,1.49573,0.79425,1.08781,0.00035382,0.00035382,0.00035382
154,9004.81,1.42712,0.68419,0.73932,0.87343,0.97259,0.995,0.62114,1.49573,0.79425,1.08781,0.000346747,0.000346747,0.000346747
155,9061.87,1.55724,0.66405,0.76109,0.84938,1,0.995,0.66586,1.43494,0.76851,1.09524,0.000339673,0.000339673,0.000339673
156,9118.84,1.58467,0.6871,0.82746,0.84938,1,0.995,0.66586,1.43494,0.76851,1.09524,0.0003326,0.0003326,0.0003326
157,9180.06,1.46347,0.68667,0.75432,0.84938,1,0.995,0.66586,1.43494,0.76851,1.09524,0.000325526,0.000325526,0.000325526
158,9239.38,1.51417,0.65554,0.73929,0.89735,0.96969,0.995,0.67113,1.443,0.76165,1.10223,0.000318453,0.000318453,0.000318453
159,9296.33,1.40125,0.6268,0.8063,0.89735,0.96969,0.995,0.67113,1.443,0.76165,1.10223,0.000311379,0.000311379,0.000311379
160,9353.64,1.56855,0.7015,0.78991,0.89735,0.96969,0.995,0.67113,1.443,0.76165,1.10223,0.000304306,0.000304306,0.000304306
161,9411.63,1.45558,0.67542,0.82874,0.89735,0.96969,0.995,0.67113,1.443,0.76165,1.10223,0.000297232,0.000297232,0.000297232
162,9469.17,1.47585,0.65119,0.74757,0.92967,0.92371,0.995,0.67626,1.4523,0.80304,1.10037,0.000290158,0.000290158,0.000290158
163,9526.57,1.45596,0.67181,0.75272,0.92967,0.92371,0.995,0.67626,1.4523,0.80304,1.10037,0.000283085,0.000283085,0.000283085
164,9585.06,1.50664,0.68424,0.72418,0.92967,0.92371,0.995,0.67626,1.4523,0.80304,1.10037,0.000276011,0.000276011,0.000276011
165,9644.47,1.47468,0.66517,0.77199,0.95045,0.90953,0.995,0.65528,1.48662,0.83968,1.10071,0.000268938,0.000268938,0.000268938
166,9702.93,1.38871,0.66941,0.82385,0.95045,0.90953,0.995,0.65528,1.48662,0.83968,1.10071,0.000261864,0.000261864,0.000261864
167,9761.76,1.51472,0.67577,0.77303,0.95045,0.90953,0.995,0.65528,1.48662,0.83968,1.10071,0.000254791,0.000254791,0.000254791
168,9822.37,1.40186,0.66385,0.74486,0.96018,0.92118,0.995,0.63898,1.52081,0.78871,1.10597,0.000247717,0.000247717,0.000247717
